Timestamp,Latency,CPU,RAM
2026-05-09 20:23:23,10.28,0.80,36.10
2026-05-09 20:23:46,10.23,0.80,36.80
2026-05-09 20:24:04,10.34,0.30,36.10
2026-05-09 20:24:32,10.21,1.00,36.50
2026-05-09 20:25:00,10.38,0.80,35.40
2026-05-09 20:25:34,10.36,0.80,35.50
2026-05-09 20:25:50,10.16,1.00,36.00
2026-05-09 20:26:14,10.17,0.50,35.90
2026-05-09 20:26:40,10.40,1.00,36.10
2026-05-09 20:27:00,10.15,0.80,35.90
2026-05-09 20:27:22,10.28,0.80,36.30
2026-05-09 20:28:05,10.32,0.80,35.50
2026-05-09 20:28:32,10.21,0.50,35.80
2026-05-09 20:28:54,10.16,2.00,36.30
2026-05-09 20:30:14,10.35,0.80,36.80
2026-05-09 20:30:35,10.23,0.80,37.20
2026-05-09 20:31:14,10.21,1.00,36.00
2026-05-09 20:31:41,10.22,0.80,36.00
2026-05-09 20:33:14,10.31,0.80,37.00
2026-05-09 20:33:31,10.31,1.50,36.50
2026-05-09 20:34:07,10.43,0.50,36.20
2026-05-09 20:34:21,10.19,0.50,36.50
2026-05-09 20:36:27,10.23,0.80,36.50
2026-05-09 20:37:08,10.33,0.80,36.60
2026-05-09 20:37:40,10.23,0.50,36.10
2026-05-09 20:38:14,10.40,0.50,35.90
2026-05-09 20:38:28,10.30,0.80,36.60
2026-05-09 20:39:31,10.39,0.80,36.00
2026-05-09 20:40:33,10.20,0.80,36.40
2026-05-09 20:43:06,10.18,0.80,36.10
2026-05-09 20:43:55,10.26,0.80,36.60
2026-05-09 20:44:25,10.31,0.50,36.20
2026-05-09 20:44:50,10.42,1.30,35.90
2026-05-09 20:45:31,10.23,1.00,36.10
2026-05-09 20:47:32,10.31,1.00,35.80
2026-05-09 20:48:46,10.42,0.50,35.60
2026-05-09 20:50:35,10.44,0.80,36.80
2026-05-09 20:51:21,10.21,3.40,37.40
2026-05-09 20:53:41,10.38,0.50,35.60
2026-05-09 20:54:26,10.21,1.00,35.70
2026-05-09 21:03:37,10.36,1.00,36.10
2026-05-09 21:03:56,10.33,0.80,35.90
2026-05-09 21:04:19,10.17,0.50,36.40
2026-05-09 21:04:50,10.30,1.00,35.90
2026-05-09 21:05:15,10.28,0.80,36.30
2026-05-09 21:05:37,10.44,0.50,36.40
2026-05-09 21:05:59,10.20,0.80,36.80
2026-05-09 22:45:36,10.39,1.50,56.50
2026-05-09 22:46:34,10.17,2.00,55.80
2026-05-09 22:59:17,10.30,0.30,54.90
2026-05-09 22:59:32,10.19,5.50,55.90
2026-05-09 22:59:55,10.38,0.50,55.00
